volume,insercao_avl,insercao_rbt,busca_avl,busca_rbt,remocao_avl,remocao_rbt
10000,858900,1865200,734300,527400,294000,220700
20000,1637900,1359300,961000,937900,330800,215500
30000,2832000,2010400,1642900,1649400,552900,350500
40000,3738000,2394500,2162100,1847800,682400,454500
50000,5101500,20049700,3919100,3015600,971400,683600
60000,6431900,3949000,3789700,4283300,1540900,1690300
70000,7489800,6289500,5174200,4977200,1390900,737100
80000,8189100,6516500,5658500,5593700,1891500,922800
90000,9532700,7754500,6020100,5907900,1948700,1639500
100000,10823000,7633500,6822900,6510200,2160700,1052300
